단원,단어,뜻
24 단원,fishing rod,낚싯대
24 단원,walk,"걷다,산책하다"
24 단원,amusement,"놀이,즐거움,재미"
24 단원,merry-go-round,회전목마
24 단원,flea market,벼룩시장
24 단원,botanical garden,식물원
24 단원,aquarium,수족관
24 단원,thermos,보온병
24 단원,stake,말뚝
24 단원,peak,꼭대기
24 단원,rapids,"급류,여울"
25 단원,sky,하늘
25 단원,flood,홍수
25 단원,hurricane,"폭풍,허리케인"
25 단원,thunder,"천둥,천둥같이 큰 소리"
25 단원,lightning,"번개,번개 같은"
25 단원,creature,"(신의)창조물,피조물"
25 단원,climb,"오르다,등반하다"
25 단원,soil,"흙,땅,토지"
25 단원,island,섬
25 단원,breeze,산들바람
25 단원,cliff,"벼랑,절벽"
25 단원,volcano,화산
25 단원,natural,"자연의,자연스러운"
25 단원,forest,"숲,삼림"
25 단원,desert,사막
25 단원,explore,탐험하다
25 단원,stream,"시내,개울,흐름,동향"
25 단원,lake,호수
25 단원,waterfall,폭포
25 단원,river,강
25 단원,ocean,"바다,대양"
25 단원,coast,해안가
25 단원,tide,"조수,간만"
25 단원,landslide,산사태
25 단원,earthquake,지진
25 단원,element,"요소,성분,원소"
25 단원,appear,나타나다
25 단원,source,"원천,수원"
25 단원,disaster,"재난,재해"
25 단원,food chain,먹이 사슬
26 단원,hot,"더운,뜨거운"
26 단원,cold,"차가운,추운"
26 단원,cool,시원한
26 단원,clear,"청명한,깨끗한,명백한"
26 단원,sunny,"햇빛이 밝은,화창한"
26 단원,cloudy,구름 낀
26 단원,rainy,비가 오는
26 단원,windy,바람 부는
26 단원,snowy,눈이 내리는
26 단원,foggy,안개 낀
26 단원,freezing,"몹시 추운,얼어붙을 듯한"
26 단원,icy,"얼음의,싸늘한"
26 단원,dry,"건조한,말리다,건조하게 하다"
26 단원,moist,"축축한,습기 있는"
26 단원,storm,폭풍(우)
26 단원,rainfall,"강우,강우량"
26 단원,hail,"우박,싸락눈"
26 단원,snowstorm,눈보라
26 단원,blizzard,"강한 눈보라,블리자드"
26 단원,drizzle,이슬비
26 단원,melt,"녹다,녹이다"
26 단원,gale,강풍
26 단원,forecast,"예측,(일기의)예보,예측하다,(일기,기상을)예보하다"
26 단원,condition,"상태,상황"
26 단원,drought,가뭄
26 단원,climate,기후
26 단원,degree,(온도 단위인) 도
26 단원,temperature,온도
26 단원,humid,"습한,눅눅한"
26 단원,sticky,"끈적끈적한,무더운"
27 단원,farm,농장
